step,T,E,bestE
200000,2744.06,40249898490,40249898490
400000,1505.97,39531488392,39531488392
600000,826.492,38856973334,38856973334
800000,453.588,38231917652,38231917652
1000000,248.934,37664649272,37664648954
1200000,136.618,37143001210,37143001210
1400000,74.9774,36664263064,36664263064
1600000,41.1484,36225475958,36225475958
1800000,22.5827,35816335500,35816335500
2000000,12.3936,35437934368,35437934368
2200000,6.80177,35092024074,35092024074
2400000,3.73289,34770427210,34770427210
2600000,2.04865,34475562516,34475562516
2800000,1.12432,34197733340,34197733340
3000000,0.617043,33941177522,33941177522
